
Node Current Mismatch Report


Bus,    Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground",  0,    0.02809,         0.004454,  630.71846
"150" .,  1,    0.00000,         0.000000,  630.71846
"   -" ,  2,    0.00000,         0.000000,  416.51984
"   -" ,  3,    0.00000,         0.000000,  509.60287
"sup_2",  1,    0.00000,         1.168343,    0.00000
"   -" ,  2,    0.00000,         0.890542,    0.00000
"   -" ,  3,    0.00000,         1.807327,    0.00000
"sup_1",  1,    0.00000,         1.168343,    0.00000
"   -" ,  2,    0.00000,         0.890542,    0.00000
"   -" ,  3,    0.00000,         1.807327,    0.00000
"sup_3",  1,    0.00000,         0.008764,    0.00000
"   -" ,  2,    0.00000,         0.004159,    0.00000
"   -" ,  3,    0.00000,         0.001509,    0.00000
"149" .,  1,    0.00000,         0.000000,  630.71846
"   -" ,  2,    0.00000,         0.000000,  416.51984
"   -" ,  3,    0.00000,         0.000000,  509.60287
"1" ...,  1,    0.00004,         0.000007,  630.71911
"   -" ,  2,    0.00000,         0.000000,  416.52021
"   -" ,  3,    0.00000,         0.000000,  509.60318
"2" ...,  2,    0.00002,         0.000255,    9.33787
"3" ...,  3,    0.00000,         0.000000,   46.55989
"7" ...,  1,    0.00004,         0.000006,  611.91416
"   -" ,  2,    0.00000,         0.000000,  407.23908
"   -" ,  3,    0.00000,         0.000000,  463.44382
"4" ...,  3,    0.00015,         0.000785,   18.83292
"5" ...,  3,    0.00007,         0.000265,   27.72757
"6" ...,  3,    0.00015,         0.000798,   18.41104
"8" ...,  1,    0.00000,         0.000000,  602.42849
"   -" ,  2,    0.00000,         0.000000,  407.23926
"   -" ,  3,    0.00000,         0.000000,  463.44397
"12" ..,  2,    0.00005,         0.000567,    9.36972
"9" ...,  1,    0.00009,         0.000202,   46.55788
"13" ..,  1,    0.00000,         0.000000,  556.09260
"   -" ,  2,    0.00000,         0.000000,  397.93758
"   -" ,  3,    0.00000,         0.000000,  463.44418
"14" ..,  1,    0.00000,         0.000000,   27.36524
"34" ..,  3,    0.00043,         0.000927,   46.87071
"18" ..,  1,    0.00000,         0.000000,  228.82603
"   -" ,  2,    0.00000,         0.000000,  154.83765
"   -" ,  3,    0.00000,         0.000000,  156.39164
"11" ..,  1,    0.00009,         0.000519,   18.04870
"10" ..,  1,    0.00005,         0.000503,    9.31699
"15" ..,  3,    0.00000,         0.000000,   28.70358
"16" ..,  3,    0.00044,         0.002321,   19.14007
"17" ..,  3,    0.00022,         0.002303,    9.56472
"19" ..,  1,    0.00015,         0.000400,   38.16723
"21" ..,  1,    0.00000,         0.000000,   55.02854
"   -" ,  2,    0.00000,         0.000000,   18.38797
"   -" ,  3,    0.00000,         0.000000,   57.98619
"20" ..,  1,    0.00015,         0.000819,   18.63404
"22" ..,  2,    0.00017,         0.000916,   18.38848
"n21" .,  1,    0.00000,         0.000000,   55.02885
"   -" ,  2,    0.00000,         0.000008,    0.00375
"   -" ,  3,    0.00000,         0.000000,   57.98662
"23" ..,  3,    0.00000,         0.000000,   57.98662
"   -" ,  1,    0.00000,         0.000000,   55.02885
"   -" ,  2,    0.00000,         0.000003,    0.00375
"24" ..,  3,    0.00054,         0.002779,   19.32111
"25" ..,  1,    0.00000,         0.000000,   55.02920
"   -" ,  2,    0.00000,         0.000000,    0.00297
"   -" ,  3,    0.00000,         0.000000,   38.66693
"26" ..,  1,    0.00000,         0.000000,   18.63341
"   -" ,  3,    0.00000,         0.000000,   19.33503
"28" ..,  1,    0.00017,         0.000462,   36.39630
"   -" ,  2,    0.00000,         0.000001,    0.00240
"   -" ,  3,    0.00000,         0.000000,   19.33316
"27" ..,  1,    0.00000,         0.000000,   18.63361
"   -" ,  3,    0.00000,              0.0,    0.00000
"31" ..,  3,    0.00027,         0.001404,   19.33523
"33" ..,  1,    0.00017,         0.000903,   18.63405
"29" ..,  1,    0.00017,         0.000957,   17.76317
"   -" ,  2,    0.00000,         0.000000,    0.00156
"   -" ,  3,    0.00000,         0.000000,   19.33368
"30" ..,  1,    0.00000,         0.000002,    0.00065
"   -" ,  2,    0.00000,         0.000006,    0.00057
"   -" ,  3,    0.00055,         0.002820,   19.33509
"250" .,  1,    0.00000,         0.001490,    0.00000
"   -" ,  2,    0.00000,         0.000737,    0.00000
"   -" ,  3,    0.00000,         0.001174,    0.00000
"32" ..,  3,    0.00027,         0.002825,    9.67003
"35" ..,  1,    0.00001,         0.000007,  135.67437
"   -" ,  2,    0.00001,         0.000007,  136.62817
"   -" ,  3,    0.00000,         0.000000,   98.57372
"36" ..,  1,    0.00000,         0.000000,   17.71882
"   -" ,  2,    0.00000,         0.000000,   18.78506
"40" ..,  1,    0.00000,         0.000000,  108.87142
"   -" ,  2,    0.00000,         0.000000,  107.67230
"   -" ,  3,    0.00000,         0.000000,   98.57405
"37" ..,  1,    0.00016,         0.000889,   17.71908
"38" ..,  2,    0.00009,         0.000453,   18.78529
"39" ..,  2,    0.00009,         0.000898,    9.46866
"41" ..,  3,    0.00026,         0.002739,    9.64701
"42" ..,  1,    0.00008,         0.000075,  108.87191
"   -" ,  2,    0.00000,         0.000000,  107.67272
"   -" ,  3,    0.00000,         0.000000,   88.97595
"43" ..,  2,    0.00018,         0.000963,   18.29927
"44" ..,  1,    0.00000,         0.000000,   99.12739
"   -" ,  2,    0.00000,         0.000000,   89.56212
"   -" ,  3,    0.00000,         0.000000,   88.97621
"45" ..,  1,    0.00008,         0.000432,   19.07176
"47" ..,  1,    0.00016,         0.000201,   80.20263
"   -" ,  2,    0.00017,         0.000195,   89.56255
"   -" ,  3,    0.00053,         0.000591,   88.97655
"46" ..,  1,    0.00008,         0.000843,    9.77763
"48" ..,  1,    0.00032,         0.000949,   33.89569
"   -" ,  2,    0.00035,         0.000992,   35.11959
"   -" ,  3,    0.00105,         0.003051,   34.47669
"49" ..,  1,    0.00016,         0.000574,   28.49215
"   -" ,  2,    0.00036,         0.000972,   36.53844
"   -" ,  3,    0.00050,         0.001361,   36.77568
"50" ..,  1,    0.00000,         0.000000,    9.77110
"   -" ,  2,    0.00000,         0.000001,    0.00228
"   -" ,  3,    0.00056,         0.002888,   19.35325
"51" ..,  1,    0.00009,         0.000876,    9.77129
"   -" ,  2,    0.00000,         0.000001,    0.00152
"   -" ,  3,    0.00000,         0.000001,    0.00154
"151" .,  1,    0.00000,         0.277927,    0.00000
"   -" ,  2,    0.00000,         0.270508,    0.00000
"   -" ,  3,    0.00000,         0.187505,    0.00000
"52" ..,  1,    0.00015,         0.000047,  331.15032
"   -" ,  2,    0.00000,         0.000000,  251.48305
"   -" ,  3,    0.00000,         0.000000,  267.22563
"53" ..,  1,    0.00017,         0.000054,  312.16283
"   -" ,  2,    0.00000,         0.000000,  251.48312
"   -" ,  3,    0.00000,         0.000000,  267.22568
"54" ..,  1,    0.00000,         0.000000,  293.19400
"   -" ,  2,    0.00000,         0.000000,  251.48316
"   -" ,  3,    0.00000,         0.000000,  267.22584
"55" ..,  1,    0.00009,         0.000999,    8.88153
"   -" ,  2,    0.00000,         0.000000,    9.42137
"   -" ,  3,    0.00000,         0.000001,    0.00077
"57" ..,  1,    0.00000,         0.000000,  284.58791
"   -" ,  2,    0.00000,         0.000000,  242.47953
"   -" ,  3,    0.00000,         0.000000,  267.22592
"56" ..,  1,    0.00000,              0.0,    0.00000
"   -" ,  2,    0.00010,         0.001063,    9.42174
"   -" ,  3,    0.00000,              0.0,    0.00000
"58" ..,  2,    0.00012,         0.000626,   18.77477
"60" ..,  1,    0.00013,         0.000047,  284.58820
"   -" ,  2,    0.00000,         0.000000,  224.66220
"   -" ,  3,    0.00000,         0.000000,  267.22608
"59" ..,  2,    0.00012,         0.001242,    9.45811
"61" ..,  1,    0.00000,              0.0,    0.00000
"   -" ,  2,    0.00000,              0.0,    0.00000
"   -" ,  3,    0.00000,              0.0,    0.00000
"62" ..,  1,    0.00000,         0.000000,   44.68813
"   -" ,  2,    0.00000,         0.000000,   51.47221
"   -" ,  3,    0.00091,         0.001131,   80.30141
"63" ..,  1,    0.00028,         0.000618,   44.69120
"   -" ,  2,    0.00000,         0.000000,   51.47470
"   -" ,  3,    0.00000,         0.000000,   62.43929
"64" ..,  1,    0.00000,         0.000000,   25.89089
"   -" ,  2,    0.00060,         0.001159,   51.47969
"   -" ,  3,    0.00000,         0.000000,   62.44365
"65" ..,  1,    0.00044,         0.001705,   25.89965
"   -" ,  2,    0.00020,         0.001164,   17.19463
"   -" ,  3,    0.00063,         0.001016,   62.44893
"66" ..,  1,    0.00000,         0.000864,    0.00000
"   -" ,  2,    0.00000,         0.000198,    0.00000
"   -" ,  3,    0.00182,         0.005009,   36.25814
"67" ..,  1,    0.00000,         0.000000,  236.26383
"   -" ,  2,    0.00000,         0.000000,  177.71833
"   -" ,  3,    0.00000,         0.000000,  192.04182
"68" ..,  1,    0.00015,         0.000256,   57.93993
"72" ..,  1,    0.00000,         0.000000,  116.23937
"   -" ,  2,    0.00000,         0.000000,  128.66045
"   -" ,  3,    0.00000,         0.000000,  135.08371
"97" ..,  1,    0.00000,         0.000000,   84.09366
"   -" ,  2,    0.00000,         0.000001,   57.22273
"   -" ,  3,    0.00000,         0.000000,   66.68168
"69" ..,  1,    0.00030,         0.000612,   48.25503
"70" ..,  1,    0.00015,         0.000508,   28.92798
"71" ..,  1,    0.00029,         0.001523,   19.27976
"73" ..,  3,    0.00103,         0.001813,   56.81900
"76" ..,  1,    0.00050,         0.000429,  116.23914
"   -" ,  2,    0.00043,         0.000332,  128.66042
"   -" ,  3,    0.00089,         0.000918,   96.98331
"74" ..,  3,    0.00104,         0.002796,   37.32933
"75" ..,  3,    0.00106,         0.005425,   19.55119
"77" ..,  1,    0.00000,         0.000000,   70.52715
"   -" ,  2,    0.00037,         0.000487,   75.33539
"   -" ,  3,    0.00000,         0.000000,   71.65632
"n86" .,  1,    0.00000,         0.000000,   34.68463
"   -" ,  2,    0.00000,         0.000000,   60.17900
"   -" ,  3,    0.00000,         0.000000,   20.71139
"86" ..,  1,    0.00000,         0.000000,   34.68440
"   -" ,  2,    0.00018,         0.000300,   60.17964
"   -" ,  3,    0.00000,         0.000000,   20.70998
"78" ..,  1,    0.00000,         0.000000,   72.18969
"   -" ,  2,    0.00000,         0.000000,   75.33512
"   -" ,  3,    0.00000,         0.000000,   71.65604
"79" ..,  1,    0.00033,         0.001892,   17.55228
"   -" ,  2,    0.00000,              0.0,    0.00000
"   -" ,  3,    0.00000,              0.0,    0.00000
"80" ..,  1,    0.00000,         0.000000,   72.18826
"   -" ,  2,    0.00038,         0.000466,   81.86545
"   -" ,  3,    0.00000,         0.000000,   71.65412
"81" ..,  1,    0.00000,         0.000000,   72.18773
"   -" ,  2,    0.00000,         0.000000,   81.86496
"   -" ,  3,    0.00000,         0.000000,   76.19781
"82" ..,  1,    0.00036,         0.000452,   78.76413
"   -" ,  2,    0.00000,         0.000000,   81.86426
"   -" ,  3,    0.00000,         0.000000,   76.19701
"84" ..,  3,    0.00057,         0.001968,   29.21190
